ID,Запрос,Частота,Категория,Область,Топ,Есть Алиса,Текст Алисы,P&G,Конкуренты,Маркетплейсы
1,памперс,850000,brand,diapers,True,True,"
ru.wikipedia.org*
votonia.ru
Detmir.ru
pampers.com
market.yandex.ru",True,False,True
2,pampers,620000,brand,diapers,True,True,"
ru.wikipedia.org*
votonia.ru
Detmir.ru
pampers.com
market.yandex.ru",True,False,True
3,памперс трусики,320000,brand,diapers,True,True,"
apteka.ru
OZON.ru
market.yandex.ru
votonia.ru
Detmir.ru",True,False,True
4,pampers premium care,280000,brand,diapers,True,True,"
megamarket.ru
apteka.ru
gorzdrav.org
goldapple.ru
Detmir.ru",True,False,True
5,памперс active baby,250000,brand,diapers,True,True,"
uteka.ru
Megapteka.ru
market.yandex.ru
cdek.shopping
Detmir.ru",True,False,True
6,huggies,430000,brand,diapers,True,True,"
votonia.ru
Huggies.ru
market.yandex.ru
Detmir.ru
parfum-lider.ru",False,True,True
7,хаггис,210000,brand,diapers,True,True,"
boobl-goom.ru
Huggies.ru
market.yandex.ru
Detmir.ru
parfum-lider.ru",False,True,True
8,libero подгузники,130000,brand,diapers,True,True,"eapteka.ru
sigma-med.ru
market.yandex.ru
votonia.ru
irecommend.ru",False,True,True
9,памперс для новорожденных,190000,brand,diapers,True,True,"
deti.mail.ru
nappyclub.ru
market.yandex.ru
OZON.ru
apteka-april.ru",True,True,True
10,huggies elite soft,170000,brand,diapers,True,True,"zdravcity.ru
rigla.ru
366.ru
apteka.ru
Huggies.ru
market.yandex.ru
megamarket.ru
gorzdrav.org
uteka.ru
Huggies.ru
apteka.ru
zdorov.ru
pharmeconom.ru",False,True,True
11,pampers pants,160000,brand,diapers,True,True,"apteka.ru
zdravcity.ru
votonia.ru
perekrestok.ru
OZON.ru",True,False,True
12,moony подгузники,95000,brand,diapers,True,True,"market.yandex.ru
onlinetrade.ru
votonia.ru
coral-yug.ru
moy-lvenok.ru",False,True,True
13,goon подгузники,87000,brand,diapers,True,True,"eapteka.ru
coral-yug.ru
goondiaper.com
market.yandex.ru
WildBerries.ru",False,True,True
14,merries подгузники,76000,brand,diapers,True,True,"uteka.ru
goldapple.ru
market.yandex.ru
votonia.ru
apteka.ru",False,True,True
15,памперс 3,210000,brand,diapers,True,True,"Detmir.ru
votonia.ru
OZON.ru
cosmetic.magnit.ru
market.yandex.ru",True,False,True
16,подгузники,1200000,category,diapers,True,True,"    lenta.com
    market.yandex.ru
    OZON.ru
    WildBerries.ru
    auchan.ru",True,True,True
17,подгузники для новорожденных,480000,category,diapers,True,True,"deti.mail.ru
OZON.ru
WildBerries.ru
uteka.ru
Detmir.ru",True,True,True
18,подгузники трусики,390000,category,diapers,True,True,"
lenta.com
market.yandex.ru
OZON.ru
perekrestok.ru
online.Globus.ru",False,False,True
19,подгузники 1 размер,280000,category,diapers,True,True,"market.yandex.ru
OZON.ru
WildBerries.ru
goldapple.ru
apteka.ru",True,True,True
20,подгузники 2 размер,240000,category,diapers,True,True,"market.yandex.ru
Detmir.ru
WildBerries.ru
votonia.ru
apteka.ru",True,True,True
21,подгузники 3 размер,210000,category,diapers,True,True,"
market.yandex.ru
OZON.ru
megamarket.ru
votonia.ru
Detmir.ru",False,True,True
22,подгузники ночные,180000,category,diapers,True,True,"
market.yandex.ru
OZON.ru
Detmir.ru
WildBerries.ru
Detmir.ru",True,True,True
23,подгузники на липучках,160000,category,diapers,True,True,"market.yandex.ru
OZON.ru
WildBerries.ru
kidsmax.ru
apteka.ru",False,True,True
24,детские подгузники,150000,category,diapers,True,True,"market.yandex.ru
uteka.ru
gorzdrav.org
lenta.com
WildBerries.ru",True,True,True
25,подгузники трусики для мальчиков,140000,category,diapers,True,True,"Detmir.ru
OZON.ru
market.yandex.ru
WildBerries.ru
lenta.com",True,True,True
26,подгузники трусики для девочек,135000,category,diapers,True,True,"5 источников

    Detmir.ru
    WildBerries.ru
    OZON.ru
    online.Globus.ru
    lenta.com",True,True,True
27,подгузники 4 размер,190000,category,diapers,True,True,"5 источников

    market.yandex.ru
    OZON.ru
    Avito.ru
    WildBerries.ru
    Detmir.ru",True,True,True
28,подгузники 5 размер,170000,category,diapers,True,True,"    OZON.ru
    market.yandex.ru
    WildBerries.ru
    Detmir.ru
    gorzdrav.org",True,True,True
29,подгузники купить,320000,category,diapers,True,True,"    Detmir.ru
    WildBerries.ru
    uteka.ru
    gorzdrav.org
    market.yandex.ru",False,True,True
30,эко подгузники,98000,category,diapers,True,True,"malyish.ru
brandformyson.ru
organicmama.ru
Detmir.ru
OZON.ru",False,True,True
31,pampers или huggies что лучше,95000,comparative,diapers,True,True,"OZON.ru
dzen.ru
irecommend.ru
BabyBlog.ru
kp.ru",True,True,True
32,какие подгузники лучше,87000,comparative,diapers,True,True,"OZON.ru
nutrilak.com
market.yandex.ru
Huggies.ru
stolichki.ru
Megapteka.ru
dtf.ru
deti.mail.ru
BabyBlog.ru
SIMA-LAND.ru
pikabu.ru
kp.ru",True,True,True
33,подгузники трусики или липучки,76000,comparative,diapers,True,True,"proaist.ru
dzen.ru
bolshoyvopros.ru
dino-rhino.ru
yokito.ru",False,False,False
