=== ЗАПРОСЫ ===
ID,Запрос,Частота,Категория,Область,Топ
1,"памперс",850000,brand,diapers,true
2,"pampers",620000,brand,diapers,true
3,"памперс трусики",320000,brand,diapers,true
4,"pampers premium care",280000,brand,diapers,true
5,"памперс active baby",250000,brand,diapers,true
6,"huggies",430000,brand,diapers,true
7,"хаггис",210000,brand,diapers,true
8,"libero подгузники",130000,brand,diapers,true
9,"памперс для новорожденных",190000,brand,diapers,true
10,"huggies elite soft",170000,brand,diapers,true
11,"pampers pants",160000,brand,diapers,true
12,"moony подгузники",95000,brand,diapers,true
13,"goon подгузники",87000,brand,diapers,true
14,"merries подгузники",76000,brand,diapers,true
15,"памперс 3",210000,brand,diapers,true
16,"подгузники",1200000,category,diapers,true
17,"подгузники для новорожденных",480000,category,diapers,true
18,"подгузники трусики",390000,category,diapers,true
19,"подгузники 1 размер",280000,category,diapers,true
20,"подгузники 2 размер",240000,category,diapers,true
21,"подгузники 3 размер",210000,category,diapers,true
22,"подгузники ночные",180000,category,diapers,true
23,"подгузники на липучках",160000,category,diapers,true
24,"детские подгузники",150000,category,diapers,true
25,"подгузники трусики для мальчиков",140000,category,diapers,true
26,"подгузники трусики для девочек",135000,category,diapers,true
27,"подгузники 4 размер",190000,category,diapers,true
28,"подгузники 5 размер",170000,category,diapers,true
29,"подгузники купить",320000,category,diapers,true
30,"эко подгузники",98000,category,diapers,true
31,"pampers или huggies что лучше",95000,comparative,diapers,true
32,"какие подгузники лучше",87000,comparative,diapers,true
33,"подгузники трусики или липучки",76000,comparative,diapers,true
34,"huggies или libero сравнение",54000,comparative,diapers,true
35,"pampers vs libero",43000,comparative,diapers,true
36,"памперс или хаггис",67000,comparative,diapers,true
37,"huggies или pampers для новорожденных",58000,comparative,diapers,true
38,"libero или huggies что лучше",47000,comparative,diapers,true
39,"подгузники merries или moony",34000,comparative,diapers,true
40,"pampers active baby или premium care",42000,comparative,diapers,true
41,"huggies elite soft или pampers premium",38000,comparative,diapers,true
42,"подгузники goon или merries",29000,comparative,diapers,true
43,"памперс или либеро",51000,comparative,diapers,true
44,"эко подгузники или обычные",32000,comparative,diapers,true
45,"японские подгузники или pampers",27000,comparative,diapers,true
46,"как выбрать подгузники",120000,advisory,diapers,true
47,"как подобрать размер подгузников",98000,advisory,diapers,true
48,"какие подгузники лучше для новорожденных",87000,advisory,diapers,true
49,"подгузники по весу таблица",76000,advisory,diapers,true
50,"когда переходить с подгузников на трусики",65000,advisory,diapers,true
51,"как понять что подгузник мал",43000,advisory,diapers,true
52,"как правильно надевать подгузник",56000,advisory,diapers,true
53,"подгузники на ночь какие лучше",48000,advisory,diapers,true
54,"от каких подгузников нет опрелостей",38000,advisory,diapers,true
55,"как часто менять подгузник новорожденному",72000,advisory,diapers,true
56,"подгузники для чувствительной кожи",54000,advisory,diapers,true
57,"сколько подгузников нужно в день",67000,advisory,diapers,true
58,"можно ли постоянно носить подгузники",43000,advisory,diapers,true
59,"подгузники при поносе какие",31000,advisory,diapers,true
60,"как хранить подгузники",29000,advisory,diapers,true
61,"head and shoulders",720000,brand,shampoos,true
62,"хед энд шолдерс",430000,brand,shampoos,true
63,"пантин шампунь",380000,brand,shampoos,true
64,"pantene",320000,brand,shampoos,true
65,"herbal essences",280000,brand,shampoos,true
66,"гербал эссенс шампунь",210000,brand,shampoos,true
67,"elseve",350000,brand,shampoos,true
68,"эльсев шампунь",240000,brand,shampoos,true
69,"dove шампунь",310000,brand,shampoos,true
70,"clear шампунь",290000,brand,shampoos,true
71,"клир шампунь",180000,brand,shampoos,true
72,"loral шампунь",260000,brand,shampoos,true
73,"лореаль шампунь",195000,brand,shampoos,true
74,"syoss шампунь",165000,brand,shampoos,true
75,"garnier шампунь",175000,brand,shampoos,true
76,"шампунь",2100000,category,shampoos,true
77,"шампунь от перхоти",890000,category,shampoos,true
78,"шампунь для жирных волос",560000,category,shampoos,true
79,"шампунь для сухих волос",480000,category,shampoos,true
80,"шампунь без сульфатов",420000,category,shampoos,true
81,"шампунь для окрашенных волос",380000,category,shampoos,true
82,"шампунь для объема волос",310000,category,shampoos,true
83,"шампунь для выпадения волос",290000,category,shampoos,true
84,"профессиональный шампунь",240000,category,shampoos,true
85,"натуральный шампунь",210000,category,shampoos,true
86,"шампунь для мужчин",180000,category,shampoos,true
87,"шампунь кондиционер",165000,category,shampoos,true
88,"шампунь для тонких волос",210000,category,shampoos,true
89,"шампунь против выпадения",195000,category,shampoos,true
90,"шампунь детский",230000,category,shampoos,true
