Сайт,Упоминания,Уникальные запросы,Суммарная частота,Средняя частота,Brand запросы,Category запросы,Comparative запросы,Advisory запросы,Diapers запросы,Shampoos запросы,Упоминания в P&G запросах,Упоминания в конкурентных запросах,Упоминания в marketplace запросах,% от всех упоминаний,% от всех запросов,% от всей частоты,% brand запросов,% category запросов,% comparative запросов,% advisory запросов,% diapers запросов,% shampoos запросов
market.yandex.ru,58,57,15805000,272500.0,25,21,7,5,33,25,23,34,43,6.04,47.5,67.73,83.33,70.0,23.33,16.67,55.0,41.67
ozon.ru,53,49,12341000,232849.06,14,20,14,5,28,25,24,34,39,5.52,40.83,52.89,46.67,66.67,46.67,16.67,46.67,41.67
detmir.ru,30,26,6131000,204366.67,8,11,9,2,30,0,22,23,29,3.12,21.67,26.27,26.67,36.67,30.0,6.67,50.0,0.0
wildberries.ru,22,21,5940000,270000.0,3,16,3,0,14,8,11,15,16,2.29,17.5,25.46,10.0,53.33,10.0,0.0,23.33,13.33
lady.mail.ru,20,18,5444000,272200.0,0,8,1,11,0,20,0,7,10,2.08,15.0,23.33,0.0,26.67,3.33,36.67,0.0,33.33
goldapple.ru,20,20,4979000,248950.0,10,6,2,2,3,17,4,8,11,2.08,16.67,21.34,33.33,20.0,6.67,6.67,5.0,28.33
ru.wikipedia.org,9,8,4740000,526666.67,5,1,3,0,4,5,5,2,7,0.94,6.67,20.31,16.67,3.33,10.0,0.0,6.67,8.33
apteka.ru,22,21,4045000,183863.64,9,4,5,4,15,7,10,13,18,2.29,17.5,17.33,30.0,13.33,16.67,13.33,25.0,11.67
randewoo.ru,9,8,3478000,386444.44,4,2,3,0,0,9,1,3,4,0.94,6.67,14.9,13.33,6.67,10.0,0.0,0.0,15.0
votonia.ru,12,12,3392000,282666.67,9,2,1,0,12,0,7,6,12,1.25,10.0,14.54,30.0,6.67,3.33,0.0,20.0,0.0
kp.ru,22,21,2591000,117772.73,0,4,9,9,9,13,10,17,14,2.29,17.5,11.1,0.0,13.33,30.0,30.0,15.0,21.67
stolichki.ru,18,18,2297000,127611.11,0,2,3,13,6,12,4,8,13,1.87,15.0,9.84,0.0,6.67,10.0,43.33,10.0,20.0
lenta.com,5,5,2015000,403000.0,0,5,0,0,5,0,4,4,5,0.52,4.17,8.64,0.0,16.67,0.0,0.0,8.33,0.0
megamarket.ru,27,17,1982000,73407.41,4,1,21,1,12,15,6,18,19,2.81,14.17,8.49,13.33,3.33,70.0,3.33,20.0,25.0
irecommend.ru,37,28,1915000,51756.76,2,0,31,4,20,17,18,29,27,3.85,23.33,8.21,6.67,0.0,103.33,13.33,33.33,28.33
megapteka.ru,11,11,1850000,168181.82,1,1,3,6,6,5,5,8,10,1.14,9.17,7.93,3.33,3.33,10.0,20.0,10.0,8.33
uteka.ru,9,9,1817000,201888.89,3,4,0,2,7,2,3,6,7,0.94,7.5,7.79,10.0,13.33,0.0,6.67,11.67,3.33
dzen.ru,25,23,1774000,70960.0,0,1,12,12,12,13,6,14,12,2.6,19.17,7.6,0.0,3.33,40.0,40.0,20.0,21.67
vc.ru,13,11,1473000,113307.69,0,2,3,8,3,10,4,9,7,1.35,9.17,6.31,0.0,6.67,10.0,26.67,5.0,16.67
pampers.com,2,2,1470000,735000.0,2,0,0,0,2,0,2,0,2,0.21,1.67,6.3,6.67,0.0,0.0,0.0,3.33,0.0
zdravcity.ru,5,5,1356000,271200.0,2,1,0,2,3,2,2,4,5,0.52,4.17,5.81,6.67,3.33,0.0,6.67,5.0,3.33
rivegauche.ru,7,7,1336000,190857.14,3,3,0,1,0,7,0,2,3,0.73,5.83,5.73,10.0,10.0,0.0,3.33,0.0,11.67
en.wikipedia.org,3,3,1320000,440000.0,3,0,0,0,0,3,2,1,3,0.31,2.5,5.66,10.0,0.0,0.0,0.0,0.0,5.0
